Target_genes	E2F1|Average	SRX022432|HeLa	SRX150446|HeLa	SRX150563|HeLa	SRX734309|HMEC	SRX2565135|LNCAP	SRX2565136|LNCAP	SRX992662|LNCAP	SRX150556|MCF-7	SRX2585781|MDA-MB-231	SRX1726515|MM.1S	SRX275409|OCI-LY1	SRX1556104|PC-3	SRX1556105|PC-3	SRX1497386|RAJI	SRX1497396|RAJI	SRX1007721|SK-MEL-147	SRX1726518|U-266	SRX334238|Unclassified	SRX334239|Unclassified	SRX334242|Unclassified	SRX334243|Unclassified	SRX334246|Unclassified	SRX334247|Unclassified	SRX334250|Unclassified	SRX334251|Unclassified	SRX334254|Unclassified	SRX334255|Unclassified	SRX334258|Unclassified	SRX334259|Unclassified	SRX334262|Unclassified	SRX334263|Unclassified	SRX334265|Unclassified	SRX334266|Unclassified	SRX1548204|Wharton_Jelly	SRX1548205|Wharton_Jelly	SRX1548206|Wharton_Jelly	SRX1548207|Wharton_Jelly	SRX1548208|Wharton_Jelly	SRX1548209|Wharton_Jelly	STRING
ATP7B	204.102564	0	0	0	256	284	0	1213	136	791	262	242	0	0	0	328	0	0	811	263	299	324	731	369	475	210	0	124	141	148	0	429	124	0	0	0	0	0	0	0	0
ALG11	204.102564	0	0	0	256	284	0	1213	136	791	262	242	0	0	0	328	0	0	811	263	299	324	731	369	475	210	0	124	141	148	0	429	124	0	0	0	0	0	0	0	0
DCBLD2	204.025641	0	307	220	502	494	0	1057	971	808	582	0	0	0	0	119	0	116	496	240	327	181	365	242	271	180	0	91	0	0	204	184	0	0	0	0	0	0	0	0	0
CDR2L	204.000000	0	285	111	0	818	0	961	1773	709	316	0	0	0	0	0	0	0	542	259	311	366	449	147	290	202	0	0	0	0	142	154	121	0	0	0	0	0	0	0	0
CHD8	203.974359	0	252	301	157	722	0	784	1778	1072	173	293	0	0	0	346	0	0	342	190	138	146	197	172	180	229	0	0	0	128	0	200	155	0	0	0	0	0	0	0	0
HERPUD1	203.846154	0	550	310	204	794	106	752	528	1319	309	142	0	0	0	256	0	0	484	153	305	180	262	292	270	285	0	138	0	100	92	119	0	0	0	0	0	0	0	0	0
C1orf115	203.743590	0	0	0	0	732	151	1179	1442	0	379	0	0	0	0	0	0	0	538	226	251	286	511	333	388	384	161	175	0	211	157	303	139	0	0	0	0	0	0	0	0
RNF149	203.666667	0	1635	683	168	432	0	509	2439	963	0	0	0	0	0	0	0	0	333	95	121	167	148	0	0	119	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0
UTP18	203.641026	0	879	314	206	574	208	1002	968	768	334	319	0	0	0	181	0	0	440	238	162	220	347	0	150	150	0	0	0	0	151	210	0	0	0	0	0	121	0	0	0
MBTD1	203.641026	0	879	314	206	574	208	1002	968	768	334	319	0	0	0	181	0	0	440	238	162	220	347	0	150	150	0	0	0	0	151	210	0	0	0	0	0	121	0	0	0
SUGP1	203.615385	0	344	142	199	448	157	727	645	987	254	179	0	0	0	153	0	0	594	408	315	253	367	322	356	314	160	0	0	0	238	211	168	0	0	0	0	0	0	0	0
SDCBP2	203.615385	0	183	0	0	718	125	1131	381	1162	157	145	0	0	0	259	0	0	524	256	269	354	515	205	415	292	0	145	0	0	111	300	195	99	0	0	0	0	0	0	0
MAU2	203.615385	0	344	142	199	448	157	727	645	987	254	179	0	0	0	153	0	0	594	408	315	253	367	322	356	314	160	0	0	0	238	211	168	0	0	0	0	0	0	0	0
FAM219B	203.589744	0	388	185	86	624	133	684	690	1155	256	161	0	0	0	0	0	0	651	301	285	348	528	262	355	250	0	0	0	110	112	219	157	0	0	0	0	0	0	0	0
COX5B	203.589744	0	0	0	333	436	0	1044	458	1187	315	0	0	0	0	242	0	0	455	248	392	395	570	300	371	251	0	143	0	143	173	340	144	0	0	0	0	0	0	0	0
FOSL2	203.564103	0	1199	668	199	390	0	642	1642	986	209	0	0	0	0	0	0	0	305	158	173	192	352	149	200	144	0	0	0	184	0	147	0	0	0	0	0	0	0	0	0
TPI1	203.487179	100	197	0	355	603	0	423	645	1535	0	138	0	0	0	175	0	0	694	234	414	338	460	245	238	385	156	0	0	120	174	186	121	0	0	0	0	0	0	0	0
MRPS24	203.487179	0	75	0	237	611	132	1168	597	901	330	298	0	0	137	600	0	0	485	218	168	311	450	143	221	171	0	0	110	126	137	174	136	0	0	0	0	0	0	0	0
GNPAT	203.435897	0	830	508	314	943	181	673	615	1177	231	115	0	0	0	158	0	0	463	175	261	165	244	163	249	292	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0
C1orf131	203.435897	0	830	508	314	943	181	673	615	1177	231	115	0	0	0	158	0	0	463	175	261	165	244	163	249	292	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0
DUSP4	203.307692	0	776	304	192	692	193	845	1707	729	225	0	0	0	0	0	0	0	415	0	220	252	364	171	204	152	0	0	0	118	155	215	0	0	0	0	0	0	0	0	0
SRR	203.205128	0	629	213	165	727	149	961	1028	885	186	465	0	0	0	356	0	0	325	217	254	136	225	196	277	240	0	0	0	105	0	186	0	0	0	0	0	0	0	0	0
SMG6	203.205128	0	629	213	165	727	149	961	1028	885	186	465	0	0	0	356	0	0	325	217	254	136	225	196	277	240	0	0	0	105	0	186	0	0	0	0	0	0	0	0	0
GLG1	203.153846	0	292	152	407	889	154	1019	1037	777	0	262	0	0	128	284	0	0	522	228	207	292	392	163	182	273	0	0	0	0	167	96	0	0	0	0	0	0	0	0	0
PHF6	203.025641	0	241	321	0	749	214	1009	1095	950	390	335	0	0	0	0	0	0	413	273	315	256	383	146	250	211	0	0	0	0	144	223	0	0	0	0	0	0	0	0	0
SETD1A	202.948718	0	468	305	161	298	90	513	1168	601	222	150	0	0	0	239	0	0	586	199	200	296	447	235	496	219	111	0	0	147	185	299	141	139	0	0	0	0	0	0	0
RP2	202.948718	0	491	352	0	721	166	947	548	1048	652	262	0	0	0	0	0	123	539	187	131	198	306	159	345	205	0	0	0	110	138	287	0	0	0	0	0	0	0	0	0
RAPGEF6	202.948718	140	0	0	278	1308	198	959	746	921	268	122	0	0	0	154	0	104	465	212	193	121	314	250	212	197	106	0	0	0	156	237	254	0	0	0	0	0	0	0	0
DCXR	202.897436	0	177	116	179	939	173	1319	179	908	568	215	0	0	0	291	0	0	492	293	230	249	519	226	272	221	0	0	0	0	130	217	0	0	0	0	0	0	0	0	0
TGFBRAP1	202.717949	0	986	553	0	474	0	657	725	0	0	479	0	0	0	0	0	0	819	379	358	223	532	297	417	302	0	0	0	130	156	419	0	0	0	0	0	0	0	0	0
C8orf58	202.692308	183	278	277	200	1044	350	851	168	775	143	157	0	0	0	0	0	0	575	258	285	188	538	281	249	119	0	161	115	93	187	224	206	0	0	0	0	0	0	0	0
RAB5B	202.512821	77	0	0	255	663	222	1114	432	783	691	458	0	0	0	377	0	0	472	229	184	191	436	142	275	134	111	0	0	0	181	183	288	0	0	0	0	0	0	0	0
MYO1D	202.512821	0	287	0	441	512	0	919	1580	0	538	188	0	0	0	0	0	0	532	273	288	240	586	143	240	237	0	151	0	151	150	335	107	0	0	0	0	0	0	0	0
PDHX	202.487179	0	526	135	227	480	141	844	977	852	141	117	0	0	0	244	0	0	501	284	199	221	381	254	240	314	150	134	124	0	122	289	0	0	0	0	0	0	0	0	0
APIP	202.487179	0	526	135	227	480	141	844	977	852	141	117	0	0	0	244	0	0	501	284	199	221	381	254	240	314	150	134	124	0	122	289	0	0	0	0	0	0	0	0	0
SH3BP2	202.461538	0	895	200	0	475	111	1332	864	432	141	0	0	0	0	0	0	0	539	215	399	307	472	178	374	216	0	0	127	229	159	231	0	0	0	0	0	0	0	0	0
TMEM254	202.435897	0	209	0	0	563	180	1184	1265	497	302	0	0	0	0	0	0	0	547	242	267	259	402	230	351	241	136	132	0	143	154	267	235	0	0	0	0	89	0	0	0
LTC4S	202.435897	0	334	0	207	659	118	1223	1117	225	321	138	0	0	0	0	0	0	595	288	232	263	362	361	414	220	152	0	0	135	163	302	0	0	0	0	0	66	0	0	0
MORN3	202.410256	0	0	0	0	1739	670	1328	485	217	0	0	0	0	0	258	0	0	551	280	347	398	397	159	211	348	0	0	0	0	0	269	237	0	0	0	0	0	0	0	0
FZD1	202.410256	0	372	136	0	732	223	939	1312	524	253	152	0	0	86	313	0	0	408	300	226	227	229	204	206	213	0	199	0	0	193	260	187	0	0	0	0	0	0	0	0
ABCC4	202.358974	0	1643	621	113	489	0	521	407	417	99	344	0	0	0	0	0	0	653	270	224	178	551	255	214	247	164	0	0	0	150	332	0	0	0	0	0	0	0	0	0
VPS4B	202.307692	0	294	155	245	760	326	771	269	534	627	542	0	0	158	268	0	146	422	261	240	193	315	265	209	219	0	126	0	0	163	275	107	0	0	0	0	0	0	0	0
DNAJC4	202.256410	0	1026	584	0	447	0	459	2115	730	182	163	0	0	0	142	0	0	368	175	194	179	370	128	236	185	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0
TXNDC12	202.230769	0	193	201	148	550	165	760	538	1076	258	365	0	0	0	281	0	0	599	347	242	239	443	275	393	326	0	0	0	128	0	235	125	0	0	0	0	0	0	0	0
BTF3L4	202.230769	0	193	201	148	550	165	760	538	1076	258	365	0	0	0	281	0	0	599	347	242	239	443	275	393	326	0	0	0	128	0	235	125	0	0	0	0	0	0	0	0
CCDC134	202.153846	0	235	92	245	600	101	891	625	889	446	157	0	0	0	131	0	0	655	289	278	339	480	344	315	293	0	0	63	0	148	268	0	0	0	0	0	0	0	0	0
TYW1	202.128205	0	279	0	178	382	0	926	1071	913	581	115	0	0	0	251	0	0	548	321	227	281	369	235	453	226	0	0	0	0	0	156	371	0	0	0	0	0	0	0	0
SBDS	202.128205	0	279	0	178	382	0	926	1071	913	581	115	0	0	0	251	0	0	548	321	227	281	369	235	453	226	0	0	0	0	0	156	371	0	0	0	0	0	0	0	0
INTS8	202.128205	0	220	0	119	482	0	1053	900	1531	147	110	0	0	0	201	0	0	675	0	372	217	467	284	307	249	0	0	0	127	113	173	136	0	0	0	0	0	0	0	0
RAD50	202.102564	144	248	205	366	1057	0	752	999	993	198	115	0	0	0	181	0	0	540	193	171	240	336	193	333	222	0	0	0	86	135	175	0	0	0	0	0	0	0	0	0
CCDC66	202.102564	99	0	0	120	1172	0	654	395	1603	0	324	0	0	0	0	0	0	410	223	303	290	282	270	330	262	132	157	124	126	165	270	171	0	0	0	0	0	0	0	0
SMIM15	202.076923	0	445	217	117	682	0	859	222	1371	101	173	0	0	0	0	0	0	662	240	300	343	461	272	461	234	124	156	0	0	0	302	139	0	0	0	0	0	0	0	0
RCC2	202.051282	0	1389	598	0	351	0	658	1666	692	0	205	0	0	0	0	0	0	384	168	229	193	478	167	153	330	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0
AMZ2	202.051282	0	499	144	162	488	0	625	1138	1371	457	138	0	0	0	0	0	133	427	308	245	202	521	178	204	167	0	0	0	119	172	182	0	0	0	0	0	0	0	0	0
CDH24	201.820513	0	790	306	0	451	127	729	670	198	163	316	0	0	0	0	0	0	814	359	473	341	506	269	395	354	0	0	0	171	204	235	0	0	0	0	0	0	0	0	0
MON1A	201.794872	0	357	182	0	430	238	857	643	872	150	251	0	0	0	166	0	0	572	300	226	417	363	227	454	192	122	0	0	172	302	198	179	0	0	0	0	0	0	0	0
RANBP17	201.717949	0	0	0	299	593	183	1193	1041	120	0	0	0	0	0	0	0	0	576	296	370	454	421	215	664	301	195	154	0	190	157	245	200	0	0	0	0	0	0	0	0
DCP1B	201.717949	124	0	0	161	789	110	780	777	1055	304	311	0	0	0	287	0	0	495	306	251	228	425	287	163	268	0	140	0	0	155	252	199	0	0	0	0	0	0	0	0
CD2AP	201.717949	0	671	283	234	502	0	699	1068	988	231	218	0	0	119	252	0	0	355	170	176	287	395	153	258	279	0	0	0	166	168	195	0	0	0	0	0	0	0	0	0
TRAF2	201.641026	0	415	189	157	644	299	519	765	1101	280	268	0	0	0	193	0	0	399	279	265	346	342	111	290	219	0	89	0	0	181	328	185	0	0	0	0	0	0	0	0
TMEM150A	201.641026	0	215	170	190	814	266	1303	705	355	400	279	0	0	0	0	0	0	643	198	260	260	432	219	260	240	0	97	0	137	174	247	0	0	0	0	0	0	0	0	0
BIRC6	201.641026	0	576	346	363	514	0	691	1147	1037	415	328	0	0	0	251	0	122	256	195	191	278	304	0	122	125	0	0	0	85	117	300	0	0	0	0	0	101	0	0	0
MAGT1	201.589744	0	282	220	0	456	437	771	1458	696	330	402	0	0	0	0	0	0	352	255	149	255	536	184	347	185	0	0	0	0	186	0	361	0	0	0	0	0	0	0	0
COX7B	201.589744	0	282	220	0	456	437	771	1458	696	330	402	0	0	0	0	0	0	352	255	149	255	536	184	347	185	0	0	0	0	186	0	361	0	0	0	0	0	0	0	0
TRPT1	201.564103	0	1026	584	0	447	0	459	2115	730	182	136	0	0	0	142	0	0	368	175	194	179	370	128	236	185	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0
NUDT22	201.564103	0	1026	584	0	447	0	459	2115	730	182	136	0	0	0	142	0	0	368	175	194	179	370	128	236	185	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0
MRPL12	201.564103	0	412	207	154	520	163	505	610	1660	350	311	0	0	142	512	0	0	378	207	187	264	371	134	210	229	0	118	0	102	0	115	0	0	0	0	0	0	0	0	0
MIB2	201.564103	93	388	168	225	288	0	807	756	1223	338	190	0	0	104	559	0	0	543	210	238	183	358	124	207	374	186	104	0	0	0	195	0	0	0	0	0	0	0	0	0
RAB39A	201.512821	0	0	0	0	729	116	1543	0	358	253	237	0	0	0	133	0	0	730	304	326	388	665	259	419	298	130	115	0	109	185	310	252	0	0	0	0	0	0	0	0
PAFAH1B1	201.512821	0	619	292	99	604	0	844	1070	649	145	442	0	0	0	0	0	0	553	256	277	294	620	214	283	244	0	0	0	103	0	251	0	0	0	0	0	0	0	0	0
LRRFIP2	201.487179	86	557	306	234	573	118	469	1251	1147	294	190	0	0	0	208	0	0	367	131	183	189	407	167	263	136	0	126	0	103	185	168	0	0	0	0	0	0	0	0	0
TELO2	201.435897	0	277	0	388	966	210	870	338	638	0	599	0	0	0	268	0	0	496	241	246	205	475	157	361	258	0	0	0	230	211	294	128	0	0	0	0	0	0	0	0
PTX4	201.435897	0	277	0	388	966	210	870	338	638	0	599	0	0	0	268	0	0	496	241	246	205	475	157	361	258	0	0	0	230	211	294	128	0	0	0	0	0	0	0	0
SARS2	201.307692	0	0	0	190	433	0	1049	509	1299	416	137	0	0	0	125	0	0	543	257	262	291	654	344	380	171	127	144	0	0	141	181	198	0	0	0	0	0	0	0	0
MRPS12	201.307692	0	0	0	190	433	0	1049	509	1299	416	137	0	0	0	125	0	0	543	257	262	291	654	344	380	171	127	144	0	0	141	181	198	0	0	0	0	0	0	0	0
COX6B1	201.256410	0	748	162	136	530	96	646	1500	895	279	158	0	0	0	200	0	0	360	211	212	208	262	193	385	154	0	0	140	0	0	227	147	0	0	0	0	0	0	0	0
CAMLG	201.256410	0	323	132	170	443	0	586	420	802	478	142	0	0	0	199	0	131	658	272	319	267	630	201	490	251	177	0	109	0	234	210	108	0	0	0	0	97	0	0	0
UBE2I	201.230769	0	269	112	0	313	111	556	264	231	222	382	0	0	0	195	0	0	654	431	469	414	750	213	474	329	0	0	194	254	267	557	187	0	0	0	0	0	0	0	0
ARL5A	201.230769	0	169	154	239	683	0	1018	1116	1184	661	261	0	0	0	157	0	97	321	159	253	194	225	163	140	164	0	135	0	122	75	158	0	0	0	0	0	0	0	0	0
SEL1L2	201.205128	0	315	161	132	973	137	993	993	507	0	0	0	0	0	0	0	0	826	229	285	269	346	350	282	357	166	134	0	0	151	241	0	0	0	0	0	0	0	0	0
MACROD2	201.205128	0	315	161	132	973	137	993	993	507	0	0	0	0	0	0	0	0	826	229	285	269	346	350	282	357	166	134	0	0	151	241	0	0	0	0	0	0	0	0	0
PDCD4	201.179487	292	299	105	422	548	0	598	394	989	0	0	0	0	0	145	0	0	736	411	344	330	654	230	304	325	0	0	0	185	233	302	0	0	0	0	0	0	0	0	0
TRIM56	201.153846	135	0	0	287	759	224	1370	1034	678	148	645	0	0	204	611	0	0	256	158	223	269	269	0	217	0	0	108	0	0	148	102	0	0	0	0	0	0	0	0	0
HGSNAT	201.153846	0	1687	515	191	639	0	904	353	197	214	180	0	0	0	0	0	0	563	357	259	223	500	141	198	254	89	0	0	85	144	152	0	0	0	0	0	0	0	0	0
SYNJ1	201.128205	0	280	299	294	598	0	846	974	407	608	312	0	0	0	215	0	107	632	346	309	269	352	123	171	206	0	0	0	122	239	135	0	0	0	0	0	0	0	0	0
SLC12A4	201.076923	0	707	213	659	196	111	359	1635	641	1105	959	0	0	0	0	0	0	275	0	140	0	197	151	0	0	0	0	0	0	0	0	0	0	0	160	0	224	110	0	0
ARAP2	201.051282	0	1408	637	267	422	0	635	1342	142	380	402	0	0	0	0	0	0	417	153	202	169	270	209	199	227	0	0	0	106	105	149	0	0	0	0	0	0	0	0	0
PLEKHF1	201.025641	0	1059	490	114	415	96	695	589	353	436	312	0	0	0	0	0	0	623	308	374	332	380	190	395	181	0	0	0	0	253	245	0	0	0	0	0	0	0	0	0
CLASRP	201.025641	0	243	0	169	558	0	771	785	1194	205	550	0	0	0	497	0	0	545	243	223	227	296	235	253	138	0	0	0	135	0	212	85	0	0	156	0	120	0	0	0
C3orf80	201.025641	0	0	0	111	449	0	409	1846	0	527	0	0	0	0	0	0	0	733	266	292	266	550	319	487	311	88	97	0	224	259	442	164	0	0	0	0	0	0	0	0
ABI2	200.974359	0	196	0	321	613	118	986	1349	412	149	143	0	0	0	355	0	0	605	187	320	269	368	0	305	241	0	0	0	172	187	261	0	0	0	151	0	130	0	0	0
PGM2L1	200.948718	0	124	122	275	565	169	1159	986	995	530	418	0	0	187	365	0	0	282	85	164	171	393	140	170	140	0	0	0	0	0	212	185	0	0	0	0	0	0	0	0
DBP	200.923077	0	608	225	90	551	191	879	1296	608	918	421	0	0	118	455	0	0	320	181	208	145	282	0	108	142	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0
CREB3L2	200.897436	0	0	0	206	649	128	1442	625	355	867	0	0	0	0	151	0	0	666	297	155	235	345	246	236	291	0	170	0	156	166	263	98	88	0	0	0	0	0	0	0
MAP2K1	200.871795	0	422	393	0	570	116	843	620	953	216	411	0	0	0	158	0	0	605	197	289	165	400	164	259	275	126	93	116	0	161	220	62	0	0	0	0	0	0	0	0
ABRAXAS1	200.794872	0	392	128	172	564	117	1298	681	1054	555	336	0	0	0	0	0	0	374	290	330	202	475	200	106	165	0	0	0	0	246	146	0	0	0	0	0	0	0	0	0
CPSF6	200.717949	0	856	365	154	848	0	898	1364	630	175	258	0	0	0	0	0	0	467	155	202	213	374	181	132	161	0	0	0	0	150	108	137	0	0	0	0	0	0	0	0
PLEK2	200.564103	0	2466	1265	450	0	0	0	3160	481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NME1-NME2	200.512821	391	329	353	100	464	113	543	1608	1403	233	262	0	0	0	118	0	0	293	128	186	143	219	110	199	232	104	89	0	0	0	200	0	0	0	0	0	0	0	0	0
NME1	200.512821	391	329	353	100	464	113	543	1608	1403	233	262	0	0	0	118	0	0	293	128	186	143	219	110	199	232	104	89	0	0	0	200	0	0	0	0	0	0	0	0	0
EIF2B5	200.461538	105	260	345	0	451	179	502	626	1167	0	208	0	0	0	105	0	0	774	221	446	349	497	395	241	259	0	0	0	0	142	220	218	108	0	0	0	0	0	0	0
CLGN	200.410256	0	334	83	0	661	0	1019	974	416	306	242	0	0	0	0	0	215	562	221	292	182	528	267	379	309	179	159	0	109	151	228	0	0	0	0	0	0	0	0	0
ATP11A	200.384615	0	797	308	197	413	0	427	235	0	340	349	0	0	0	0	0	0	884	493	462	375	506	337	382	327	116	0	248	158	224	237	0	0	0	0	0	0	0	0	0
RUFY2	200.358974	0	897	448	134	586	0	1024	985	608	303	228	0	0	0	196	0	0	508	186	141	223	323	191	221	209	0	0	0	124	0	279	0	0	0	0	0	0	0	0	0
IGSF9	200.358974	0	0	0	218	896	241	1379	1159	338	0	154	0	0	0	0	0	0	627	172	260	390	408	243	338	299	126	0	0	117	157	292	0	0	0	0	0	0	0	0	0
ZNF500	200.333333	0	0	0	139	615	148	881	581	1079	224	107	0	0	0	107	0	0	698	391	305	389	464	262	257	311	0	139	0	103	219	273	121	0	0	0	0	0	0	0	0
PSMD12	200.333333	117	167	114	350	699	127	959	846	1779	263	110	0	0	0	308	0	0	318	182	220	266	321	135	264	185	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0
HSPA12A	200.333333	0	208	0	209	1037	210	1337	354	1051	320	320	0	0	0	0	0	0	409	282	343	289	365	159	307	157	0	0	0	0	190	266	0	0	0	0	0	0	0	0	0
EIF4H	200.307692	0	366	177	189	572	83	456	330	562	267	161	0	0	0	0	0	0	902	543	335	312	594	383	352	364	127	180	0	106	189	262	0	0	0	0	0	0	0	0	0
THOC1	200.282051	133	338	313	191	951	231	641	1008	1527	128	0	0	0	0	123	0	0	367	120	321	218	286	0	180	188	0	0	0	0	0	287	260	0	0	0	0	0	0	0	0
CLK4	200.282051	0	227	105	88	638	0	758	456	1284	0	175	0	0	0	0	0	0	818	353	317	329	688	226	350	292	147	120	0	0	142	298	0	0	0	0	0	0	0	0	0
USP20	200.179487	0	450	173	144	573	91	653	1005	962	297	189	0	0	0	154	0	0	565	278	308	335	370	244	261	213	0	0	94	127	180	141	0	0	0	0	0	0	0	0	0
C9orf78	200.179487	0	450	173	144	573	91	653	1005	962	297	189	0	0	0	154	0	0	565	278	308	335	370	244	261	213	0	0	94	127	180	141	0	0	0	0	0	0	0	0	0
SNAPC3	200.153846	0	110	0	244	737	78	719	532	485	127	447	0	0	0	373	0	0	585	363	267	331	644	212	289	264	140	177	0	157	169	356	0	0	0	0	0	0	0	0	0
RAB11A	200.153846	198	203	139	1040	612	0	596	810	1451	293	310	0	0	0	306	213	0	318	110	168	139	172	130	258	170	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0
PLK3	200.153846	0	718	371	238	444	173	626	773	1034	326	166	0	0	0	284	0	0	389	223	229	240	307	179	236	203	0	124	90	0	131	172	0	0	0	0	0	130	0	0	0
AP3D1	200.128205	0	74	0	151	251	0	941	0	180	1337	0	0	0	70	271	0	0	771	378	388	372	763	334	484	198	0	0	97	137	144	295	169	0	0	0	0	0	0	0	0
NDUFAB1	200.076923	0	294	301	0	370	0	1064	747	843	172	367	0	0	0	0	0	0	609	393	367	282	452	164	245	299	0	0	100	175	263	296	0	0	0	0	0	0	0	0	0
SEC16A	199.974359	0	843	468	94	444	0	699	1399	1593	303	323	0	0	0	286	0	0	387	166	0	203	231	111	152	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA2013	199.974359	0	0	0	179	493	0	1162	0	783	317	146	0	0	0	213	0	0	838	409	286	395	655	329	346	231	0	0	148	222	197	320	130	0	0	0	0	0	0	0	0
C9orf163	199.974359	0	843	468	94	444	0	699	1399	1593	303	323	0	0	0	286	0	0	387	166	0	203	231	111	152	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RSU1	199.948718	187	148	133	273	483	180	1062	953	1336	151	0	0	0	0	136	0	0	341	226	217	90	358	83	242	359	0	0	0	109	86	194	301	150	0	0	0	0	0	0	0
CLTC	199.948718	209	361	310	262	436	0	366	2363	1263	140	0	0	0	0	155	0	0	306	183	151	167	255	0	228	153	0	83	0	107	0	188	0	0	0	0	0	112	0	0	0
NUDT4B	199.923077	0	417	174	303	623	0	632	2410	381	179	0	0	0	0	0	0	0	401	218	293	231	341	257	206	191	0	89	0	135	138	178	0	0	0	0	0	0	0	0	0
PSMD14	199.871795	0	645	149	180	1053	219	936	1299	1273	201	161	0	0	0	209	0	0	195	107	146	169	204	104	155	154	0	0	0	107	0	129	0	0	0	0	0	0	0	0	0
CENPE	199.794872	0	0	0	426	1709	442	1618	166	669	0	205	0	0	0	296	0	0	249	157	154	218	367	190	250	229	0	0	0	0	118	176	153	0	0	0	0	0	0	0	0
VPS11	199.769231	0	0	0	273	586	162	758	614	1186	279	324	0	0	0	309	0	0	562	258	323	302	424	221	249	172	132	0	113	0	210	217	117	0	0	0	0	0	0	0	0
TSGA10	199.692308	0	507	189	295	424	0	1103	835	750	485	197	0	0	0	399	0	0	504	224	202	181	333	263	156	225	101	0	0	75	117	223	0	0	0	0	0	0	0	0	0
C2orf15	199.692308	0	507	189	295	424	0	1103	835	750	485	197	0	0	0	399	0	0	504	224	202	181	333	263	156	225	101	0	0	75	117	223	0	0	0	0	0	0	0	0	0
ATXN7	199.692308	0	955	421	123	468	0	708	2733	316	187	141	0	0	0	0	0	0	345	171	176	113	299	157	192	127	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0
B3GAT2	199.666667	0	516	336	0	658	0	667	936	0	430	95	0	0	0	0	0	0	670	228	374	313	453	330	251	292	200	254	123	116	165	243	137	0	0	0	0	0	0	0	0
IST1	199.641026	115	350	181	246	598	131	658	1528	1059	257	116	0	0	0	267	0	0	336	186	134	111	264	211	237	147	0	156	0	109	91	137	95	0	0	0	0	66	0	0	0
HIKESHI	199.641026	0	0	0	184	625	256	682	401	1267	359	779	0	0	0	206	0	0	556	219	211	206	541	234	195	196	0	0	0	0	213	345	111	0	0	0	0	0	0	0	0
KLF4	199.615385	0	1088	759	0	863	170	1121	1606	479	272	0	0	0	0	0	0	0	272	99	160	0	208	0	140	199	0	0	0	0	169	180	0	0	0	0	0	0	0	0	0
IL11RA	199.615385	0	417	267	0	1132	315	680	763	1124	0	182	0	0	0	0	0	0	525	343	267	301	487	200	162	117	0	0	112	82	116	193	0	0	0	0	0	0	0	0	0
LYPD6	199.538462	0	815	304	182	563	0	1024	1391	270	298	0	0	0	0	0	0	0	530	157	218	309	422	201	262	195	114	0	0	140	126	261	0	0	0	0	0	0	0	0	0
WWP1	199.512821	0	831	207	0	635	0	344	536	761	0	159	0	0	0	0	0	0	907	322	281	334	576	219	375	291	162	120	171	214	101	235	0	0	0	0	0	0	0	0	0
VOPP1	199.512821	0	877	307	0	384	0	678	534	155	155	384	0	0	0	214	0	0	803	190	298	431	531	394	434	196	0	0	123	225	111	357	0	0	0	0	0	0	0	0	0
SSNA1	199.512821	131	580	522	122	477	160	555	788	1010	249	334	0	0	0	108	0	0	570	216	269	150	357	245	252	155	87	0	0	0	128	227	0	0	0	0	0	89	0	0	0
SENP8	199.512821	109	378	0	146	579	0	1122	325	1534	431	274	0	0	109	150	0	0	365	328	325	182	448	115	268	230	0	0	0	136	110	117	0	0	0	0	0	0	0	0	0
RNF139	199.512821	123	194	124	105	652	124	958	1546	782	413	233	0	0	0	112	0	0	426	168	153	215	394	174	217	114	152	100	0	0	159	143	0	0	0	0	0	0	0	0	0
MYO9A	199.512821	109	378	0	146	579	0	1122	325	1534	431	274	0	0	109	150	0	0	365	328	325	182	448	115	268	230	0	0	0	136	110	117	0	0	0	0	0	0	0	0	0
ANAPC2	199.512821	131	580	522	122	477	160	555	788	1010	249	334	0	0	0	108	0	0	570	216	269	150	357	245	252	155	87	0	0	0	128	227	0	0	0	0	0	89	0	0	0
IRX3	199.461538	0	537	185	223	613	250	1209	601	259	0	0	0	0	0	0	0	0	635	211	338	351	583	124	286	262	0	0	168	266	247	431	0	0	0	0	0	0	0	0	0
PCNX3	199.384615	0	0	173	101	741	144	997	1421	1098	355	135	0	0	0	210	0	0	407	117	180	146	402	256	233	209	0	0	0	0	139	183	129	0	0	0	0	0	0	0	0
MAP3K11	199.384615	0	0	173	101	741	144	997	1421	1098	355	135	0	0	0	210	0	0	407	117	180	146	402	256	233	209	0	0	0	0	139	183	129	0	0	0	0	0	0	0	0
